iter	Passed	Remaining
401	14487	14343
402	14524	14308
403	14560	14272
404	14597	14237
405	14635	14202
406	14675	14170
407	14714	14137
408	14754	14104
409	14797	14075
410	14835	14041
411	14876	14009
412	14917	13978
413	14951	13940
414	14984	13901
415	15016	13861
416	15050	13823
417	15085	13785
418	15121	13749
419	15157	13713
420	15194	13678
421	15229	13641
422	15263	13604
423	15303	13570
424	15335	13531
425	15368	13492
426	15403	13455
427	15437	13417
428	15470	13378
429	15503	13340
430	15538	13303
431	15577	13270
432	15611	13231
433	15643	13192
434	15680	13156
435	15715	13120
436	15750	13083
437	15784	13045
438	15819	13009
439	15854	12971
440	15888	12933
441	15919	12893
442	15951	12854
443	15983	12815
444	16017	12777
445	16054	12742
446	16086	12703
447	16121	12666
448	16154	12628
449	16188	12590
450	16221	12552
451	16256	12516
452	16300	12486
453	16343	12455
454	16386	12424
455	16427	12392
456	16471	12362
457	16514	12331
458	16552	12296
459	16586	12259
460	16621	12222
461	16657	12186
462	16696	12152
463	16731	12116
464	16764	12077
465	16799	12040
466	16832	12002
467	16865	11964
468	16899	11926
469	16933	11889
470	16967	11852
471	17001	11814
472	17034	11776
473	17069	11740
474	17102	11701
475	17136	11664
476	17170	11627
477	17204	11589
478	17238	11552
479	17278	11519
480	17312	11481
481	17347	11444
482	17383	11409
483	17416	11371
484	17449	11333
485	17482	11295
486	17515	11257
487	17549	11220
488	17582	11182
489	17618	11146
490	17651	11108
491	17684	11070
492	17717	11033
493	17750	10995
494	17784	10957
495	17820	10922
496	17855	10885
497	17888	10848
498	17922	10810
499	17956	10773
500	17989	10735
501	18022	10698
502	18058	10662
503	18091	10625
504	18125	10588
505	18159	10551
506	18193	10514
507	18227	10477
508	18264	10441
509	18298	10405
510	18330	10367
511	18362	10328
512	18396	10291
513	18432	10256
514	18464	10218
515	18496	10180
516	18529	10142
517	18560	10104
518	18593	10066
519	18625	10029
520	18656	9990
521	18694	9955
522	18729	9919
523	18763	9882
524	18795	9845
525	18829	9808
526	18862	9771
527	18896	9734
528	18932	9699
529	18966	9662
530	19000	9625
531	19035	9589
532	19075	9555
533	19113	9520
534	19149	9485
535	19184	9449
536	19219	9412
537	19254	9376
538	19289	9340
539	19325	9304
540	19360	9268
541	19395	9232
542	19434	9198
543	19470	9162
544	19505	9126
545	19541	9090
546	19576	9054
547	19613	9019
548	19651	8984
549	19691	8950
550	19727	8915
551	19764	8879
552	19800	8843
553	19838	8809
554	19873	8773
555	19907	8736
556	19940	8699
557	19975	8663
558	20012	8627
559	20048	8592
560	20080	8554
561	20113	8518
562	20147	8481
563	20179	8444
564	20212	8406
565	20245	8369
566	20281	8334
567	20314	8297
568	20351	8262
569	20396	8230
570	20437	8196
571	20482	8164
572	20527	8132
573	20569	8098
574	20611	8065
575	20670	8038
576	20718	8007
577	20757	7972
578	20792	7936
579	20827	7899
580	20858	7862
581	20899	7828
582	20939	7794
583	20978	7758
584	21014	7723
585	21049	7687
586	21084	7650
587	21127	7617
588	21171	7584
589	21206	7548
590	21247	7513
591	21286	7479
592	21324	7443
593	21360	7407
594	21395	7371
595	21428	7334
596	21460	7297
597	21493	7260
598	21527	7223
599	21561	7187
600	21594	7150
601	21633	7115
602	21670	7079
603	21707	7044
604	21743	7008
605	21779	6972
606	21815	6936
607	21850	6900
608	21883	6863
609	21916	6826
610	21950	6789
611	21983	6753
612	22018	6717
613	22055	6681
614	22094	6646
615	22130	6610
616	22164	6573
617	22198	6537
618	22230	6500
619	22266	6464
620	22301	6428
621	22335	6391
622	22369	6355
623	22404	6319
624	22440	6283
625	22478	6247
626	22513	6211
627	22547	6175
628	22562	6133
629	22595	6097
630	22631	6061
631	22667	6025
632	22702	5989
633	22739	5953
634	22775	5917
635	22807	5881
636	22841	5844
637	22874	5808
638	22906	5771
639	22938	5734
640	22970	5697
641	23004	5661
642	23039	5625
643	23074	5589
