iter	MAE	RMSE
98	0.5449781138	1.213225092
99	0.5418533122	1.199512765
100	0.5359060338	1.185572849
101	0.5328598738	1.172250044
102	0.5274192533	1.160134739
103	0.5217664841	1.148083532
104	0.5184422664	1.136708689
105	0.5168320342	1.127169529
106	0.5153430694	1.117853232
107	0.5139526873	1.108839767
108	0.512265823	1.099873641
109	0.5114401135	1.094092917
110	0.5108223225	1.087914069
111	0.5088751956	1.077999571
112	0.5041148706	1.067539138
113	0.5031437637	1.059457064
114	0.4983825619	1.05038168
115	0.4972729964	1.043245855
116	0.493285862	1.036027324
117	0.4912679401	1.029354999
118	0.490386845	1.022806693
119	0.4895158216	1.01755772
120	0.487436798	1.008974757
121	0.4833995148	0.9997366812
122	0.4821612296	0.9927185826
123	0.4810007343	0.9871660817
124	0.4783793105	0.9784148318
125	0.4747002396	0.9717124554
126	0.4719941298	0.965119285
127	0.4697786125	0.9575333487
128	0.467974559	0.9489080014
129	0.4638501837	0.9420979572
130	0.4610392094	0.9356603286
131	0.4590860653	0.9283572717
132	0.4581003873	0.9246203551
133	0.4564382324	0.9175933388
134	0.4551740981	0.9118424626
135	0.4515729936	0.9051878009
136	0.4509642545	0.901055467
137	0.4499002871	0.895427229
138	0.449321337	0.8915882574
139	0.4481299568	0.8856779558
140	0.4458563835	0.8795930305
141	0.4453632265	0.8762732021
142	0.4442027811	0.8704142266
143	0.4435498147	0.8663713775
144	0.442643613	0.8623952618
145	0.4397603594	0.8568712052
146	0.4388719025	0.852232893
147	0.4361766648	0.8487158258
148	0.4354031939	0.844779885
149	0.4332131091	0.8412083725
150	0.432089841	0.8359360712
151	0.4302831986	0.8313980377
152	0.4299460594	0.8293763503
153	0.4263751322	0.8248637856
154	0.4248093211	0.8198360206
155	0.4222619891	0.8150776085
156	0.4215327225	0.8108292871
157	0.4208218285	0.8072388946
158	0.417905312	0.8012869432
159	0.4175566751	0.7992299543
160	0.4159024544	0.7964922684
161	0.414880599	0.7938745513
162	0.4136482295	0.7891434167
163	0.4133974989	0.7873573625
164	0.412271024	0.7823645102
165	0.4118516055	0.7795446545
166	0.4115409022	0.7773745635
167	0.408796775	0.7722765799
168	0.4070186211	0.7691680029
169	0.4063547161	0.7663506969
170	0.4054464952	0.762754269
171	0.4048944499	0.7601193154
172	0.4045121985	0.7581531082
173	0.4034846011	0.7541487992
174	0.4011442678	0.7508341501
175	0.400941973	0.749185207
176	0.3994917096	0.7465329907
177	0.3992957993	0.7451465507
178	0.3963416186	0.7408766407
179	0.3937644311	0.736013824
180	0.3919707215	0.732389611
181	0.3916608761	0.7304817659
182	0.3914285145	0.7288122319
183	0.3896016991	0.725733754
184	0.3893820031	0.7243339583
185	0.3888765928	0.7220468396
186	0.3883783088	0.719812354
187	0.3881676768	0.718495399
188	0.3871308763	0.7147575149
189	0.3864208576	0.7115056421
190	0.3861830953	0.7101516917
191	0.3855152283	0.7071393018
192	0.3835579332	0.7025244671
193	0.3832926172	0.7011015986
194	0.382906727	0.6992174214
195	0.3824683076	0.696943539
196	0.3801649509	0.6928492669
197	0.379892225	0.6913482225
198	0.3794039428	0.6890007584
199	0.3791024116	0.6873967501
200	0.3788180153	0.685865411
201	0.3785979066	0.6846012059
202	0.3757299584	0.6813367121
203	0.374972535	0.678041695
204	0.3737856813	0.6761781152
205	0.3730426391	0.6732129679
206	0.372754646	0.6718038475
207	0.3725671479	0.6706611495
208	0.3721946695	0.6688390044
209	0.3719174566	0.6675047812
210	0.3693890313	0.6640218727
211	0.3682318053	0.6617524629
212	0.3680265618	0.6605671809
213	0.3665276999	0.6566265059
214	0.3662173565	0.6552264268
215	0.3654220201	0.6519926252
216	0.3628644424	0.6484452677
217	0.3627438927	0.6476704065
218	0.3625567549	0.6466805716
219	0.360549255	0.6434320736
220	0.3603173181	0.6422840937
221	0.3584584874	0.6395500521
222	0.3583053527	0.638672478
223	0.3570686054	0.6358305593
224	0.3568182619	0.6346141994
225	0.3566525395	0.6337760981
226	0.3564484363	0.6328669674
227	0.3537978422	0.629360706
228	0.353584912	0.6281882394
229	0.3534405662	0.6274459863
230	0.3532083538	0.6263102503
231	0.35306099	0.6255763332
232	0.35172004	0.6224314082
233	0.3515335641	0.6214763511
234	0.3513422541	0.6205769621
235	0.3509880003	0.6187370491
236	0.348676793	0.6156466836
237	0.3485316296	0.614941812
238	0.3466281313	0.6119901656
239	0.3446908176	0.6095428841
240	0.344463207	0.6085408153
241	0.3443737053	0.6080053281
242	0.3441465045	0.6070395169
243	0.3439542443	0.6061905364
244	0.3437501805	0.6052772542
245	0.3429327409	0.6023680154
246	0.3427958724	0.6017449107
247	0.3409090071	0.5981123309
248	0.340707075	0.597241025
249	0.3386920821	0.5950369184
250	0.3385182899	0.5942351489
251	0.3376887588	0.5914573676
252	0.3375982525	0.5909089517
253	0.3356629875	0.5878223637
254	0.3354193643	0.5867096904
255	0.3352223582	0.5859244517
256	0.3350773972	0.585285165
257	0.3328278118	0.5829232904
258	0.3326490411	0.5821919457
259	0.331199083	0.5797790548
260	0.3310103796	0.5790070371
261	0.3308404907	0.5783141954
262	0.3295582507	0.5753948529
263	0.328472414	0.5732718089
264	0.3279052653	0.5710948469
265	0.3272344652	0.5690315041
266	0.326942628	0.567825325
267	0.3251455717	0.56568295
268	0.3250425417	0.5650569831
269	0.3234515682	0.5633363777
270	0.3230280961	0.5619356732
271	0.3209703863	0.5598316162
272	0.3205500626	0.5578911311
273	0.3202354638	0.5567920098
274	0.3200290605	0.5558803291
275	0.3197316838	0.5547233726
276	0.3195904452	0.5541341597
277	0.3192473549	0.5524945732
278	0.3177608476	0.5495243126
279	0.3176188742	0.5488341394
280	0.3171926111	0.5471921256
281	0.3168020345	0.5454302281
282	0.3165392088	0.5443093359
283	0.3146231512	0.541780405
284	0.3139566681	0.5397356546
285	0.3136964524	0.5386548732
286	0.31340547	0.5371799271
287	0.3117559834	0.5351180645
288	0.3103408992	0.5333868259
289	0.3101992896	0.532756903
290	0.3100787008	0.5322400468
291	0.3099645308	0.5317542649
292	0.3084712955	0.5288120914
293	0.3082017623	0.5275120488
294	0.3079413672	0.52626613
295	0.3066708712	0.5243031712
296	0.3062640657	0.5228323107
297	0.3060123802	0.5216484638
298	0.3056590739	0.5200967073
299	0.305373232	0.5188694178
300	0.3046281944	0.5170460119
301	0.3039742455	0.5154977557
302	0.3037100572	0.5143755273
303	0.302095017	0.5125660852
304	0.3007965045	0.5109964133
305	0.2993576746	0.508175757
306	0.2992416697	0.5076257075
307	0.2983663843	0.5058939451
308	0.2981232585	0.5049857746
309	0.2976620391	0.5032990493
310	0.2972615689	0.5018889451
311	0.2956124703	0.5000093264
312	0.2941612199	0.4985713883
313	0.2939128635	0.4977436914
314	0.293786833	0.4972094912
315	0.2936671974	0.4966953269
316	0.2925886581	0.494613079
317	0.2921732719	0.4932624011
318	0.2914456024	0.4915337693
319	0.29128255	0.490887734
320	0.2911788817	0.4904166981
321	0.2910676491	0.4899242735
322	0.290730614	0.4887012102
323	0.2893187571	0.4863822106
324	0.2883167388	0.484721416
325	0.2882212925	0.4842263046
326	0.2871750013	0.482707473
327	0.286123673	0.4813518028
328	0.2859633778	0.4807922643
329	0.2856171489	0.4797303745
330	0.2854674223	0.4791114452
331	0.2844717014	0.4779211415
332	0.2843707742	0.4774806014
333	0.2840895307	0.4765720343
334	0.2824642281	0.4752514533
335	0.2823242378	0.4746754172
336	0.2816453231	0.472998235
337	0.2805296635	0.4715302482
338	0.2803628105	0.4709855583
339	0.28028286	0.4706396389
340	0.2801439206	0.4701662753
341	0.2800409241	0.4696372031
342	0.2790958344	0.4682730274
343	0.2789140172	0.4677155415
344	0.2780648845	0.4663917587
345	0.2779668287	0.465998877
346	0.2768211014	0.4642994241
347	0.2758184027	0.4624513636
348	0.2757318485	0.462073242
349	0.2744663816	0.4604065961
350	0.2743797659	0.4600418583
351	0.2742866906	0.4595481704
352	0.2740643662	0.4587754842
353	0.2735905465	0.4572689951
354	0.2732985682	0.4563221561
355	0.2726954577	0.4547738834
356	0.2725360127	0.4540390945
357	0.2710867909	0.4528423687
358	0.2706273187	0.4515243397
359	0.2695140179	0.4504001364
360	0.2684692418	0.4491714172
361	0.2678662289	0.4478188436
362	0.2673539172	0.4464095226
363	0.266565598	0.4452549213
364	0.2661899708	0.4442138922
365	0.2658416143	0.4430121833
366	0.2656657139	0.4425368013
367	0.2655249055	0.4419117849
368	0.2650373885	0.4411098428
369	0.2644280235	0.4398845566
370	0.2636497271	0.4387511921
371	0.2634118192	0.4379420681
372	0.2629227794	0.4368161185
373	0.2625274117	0.4356374548
374	0.2624570451	0.4352725914
375	0.2616557579	0.4338951817
376	0.2614794681	0.4332145534
377	0.2609477587	0.431893079
378	0.2602548864	0.4308741259
379	0.2597212223	0.4298414834
380	0.2590107868	0.4283437393
381	0.2579441319	0.4271947972
382	0.2574216547	0.4258369459
383	0.2563367922	0.4246625374
384	0.2559675119	0.4238725958
385	0.2556517526	0.4228216497
386	0.2550407305	0.42182919
387	0.2548754407	0.4211994844
388	0.2541436331	0.4196382692
389	0.2532729698	0.4185201908
390	0.2527709704	0.4172498245
